"names","avgs","df","sd","idf"
"ident",60.7916666666667,72,22.7501416540636,9.21148275834069
"killer",56.152,125,22.7982153753097,8.41562347512092
"fincher",78.6857142857143,35,20.0367623121089,10.252124742838
"brutish",61.1,10,22.6817895940349,12.0594796648956
"relat",65.3858695652174,184,21.7966479093879,7.85784580372599
"david",66.8730769230769,260,22.4930007048592,7.35903994675455
"shovel",62.6666666666667,3,13.5033328890074,13.7964452590618
"gloom",54.2666666666667,15,19.1991627227607,11.4745171641745
"genr",63.5135135135135,629,21.4794107859272,6.08449155290372
"murkili",45.25,4,12.8708326020826,13.381407759783
"moodi",60.7837837837838,37,20.7837407078741,10.1719543941541
"selfdef",46,3,20.313207915828,13.7964452590618
"misfirebut",63,1,1,15.381407759783
"magnet",65,31,24.6064962810381,10.4272114493961
"misfir",41.1320754716981,53,17.4200132763099,9.65348730521981
"absurd",58.905325443787,169,22.4179615886688,7.98052832350082
"struggl",58.7,110,20.6223753577109,8.60004804625835
"nonsens",48.1530612244898,98,20.5048775506091,8.7666979156678
"gluey",54.3333333333333,3,8.50555349946513,13.7964452590618
"bumbl",54.3076923076923,13,21.8262039083163,11.6809680416419
"unthril",23.3333333333333,3,26.1661147842358,13.7964452590618
"nearclass",80.2,5,20.0578067993146,13.0594796648956
"terror",68.87,100,25.0914314789942,8.73755157000828
"lace",68.0789473684211,38,26.529401787327,10.1334802463394
"humphrey",75,2,36.3553390593274,14.381407759783
"bogart",78.25,4,22.4223403638974,13.381407759783
"im",58.8971428571429,175,25.2759694541587,7.93019664795068
"hes",62.6172638436482,614,21.8884654435424,6.11931291441283
"sorri",47.8611111111111,36,22.240329265376,10.2114827583407
"unavail",100,1,1,15.381407759783
"synthesi",81.5,2,10.1923881554251,14.381407759783
"noir",69.5087719298246,114,22.9203084461032,8.54851774561826
"entri",58.5257731958763,97,22.4476556525344,8.78149491759588
"fill",63.0827338129496,278,21.9743781397128,7.2624666870595
"unusu",72.4809160305343,131,17.6027574841503,8.34798475824556
"urg",67.55,20,21.2106668032398,11.0594796648956
"rewind",69.2,10,24.897001206567,12.0594796648956
"projector",47.6,5,26.8127875286649,13.0594796648956
"figur",61.8452380952381,168,22.792155951645,7.98909033700425
"humding",88,1,1,15.381407759783
"dens",72.8604651162791,43,20.8657175332745,9.95514300508091
"iron",64.6376811594203,138,20.5208823350399,8.27288330300484
"thorough",67.5796178343949,157,25.1467541452355,8.08678701089138
"caper",63.9876543209877,81,19.9132848992187,9.04155775689838
"melodrama",60.2020202020202,198,20.2163634785485,7.7520511397034
"byrn",53.6666666666667,9,25.6170672501823,12.2114827583407
"standup",71.9642857142857,28,22.3653962923733,10.5740528377254
"poet",65.5,20,22.558976638148,11.0594796648956
"actor",62.7094307561597,1177,21.9990813153159,5.18050915474456
"innat",61.3157894736842,19,20.2239799081452,11.1334802463394
"prompt",64.9090909090909,22,21.5887373069867,10.9219761411457
"clevernessand",85,1,1,15.381407759783
"smartest",86.5,16,13.8218563398597,11.381407759783
"predict",55.4360902255639,399,18.5314591822006,6.74116282356066
"maze",63.0526315789474,19,20.4149818559749,11.1334802463394
"crimin",59.2051282051282,39,23.0038028856491,10.0960055409208
"roller",78.5714285714286,14,22.9920065398397,11.5740528377254
"coaster",77.8461538461538,13,23.7150689845829,11.6809680416419
"intricaci",76.3333333333333,12,21.8602855961158,11.7964452590618
"thick",53.8235294117647,34,19.284735458905,10.2939449185327
"showi",66.2068965517241,29,19.8137094966578,10.5234267646554
"hip",67.1805555555556,72,20.9536973797748,9.21148275834069
"ensembl",71.1985294117647,136,17.6790264628148,8.29394491853267
"listen",68.5961538461538,52,21.2583893204327,9.68096804164191
"screenwrit",60.03125,192,21.5665580863285,7.79644525906185
"mcquarri",53.8571428571429,7,29.5331886956726,12.5740528377254
"toughguy",52.4,10,21.3426208297314,12.0594796648956
"dialogu",58.6,590,24.0347637183144,6.1768366155338
"bryan",73.6,15,16.131801894402,11.4745171641745
"singer",65.0227272727273,44,18.9008751720102,9.92197614114571
